timestamp,temperature,precipitation,weather_condition,wind_speed,humidity,feels_like_temp
2025-05-11 08:46:04,29.7,0,Cloudy,7.1,45,28.3
2025-05-11 09:46:04,27.5,2.7,Rain,23.4,79.9,22.8
2025-05-11 10:46:04,27.2,0,Cloudy,14.2,66.3,24.3
2025-05-11 11:46:04,24.2,0,Cloudy,6.9,59.4,22.8
2025-05-11 12:46:04,25.9,0,Clear,10.6,58.3,23.7
2025-05-11 13:46:04,24.6,0,Clear,24,50.5,19.8
2025-05-11 14:46:04,20.2,0,Clear,6.9,55.6,18.9
2025-05-11 15:46:04,21,6.8,Rain,34.9,81.2,14
2025-05-11 16:46:04,20,0,Clear,24.4,49.7,15.2
2025-05-11 17:46:04,20.6,0,Clear,17.6,47.7,17.1
2025-05-11 18:46:04,19.6,11.3,Rain,28,85.5,14
2025-05-11 19:46:04,21.1,6.7,Rain,31,90.1,14.9
2025-05-11 20:46:04,18.6,0,Clear,5.2,46.3,17.6
2025-05-11 21:46:04,22.9,0.3,Rain,21.7,72.1,18.5
2025-05-11 22:46:04,24,0,Clear,22.9,75.5,19.4
2025-05-11 23:46:04,22.7,0,Cloudy,8.5,79.6,21
2025-05-12 00:46:04,23.1,0,Clear,19.5,61.1,19.2
2025-05-12 01:46:04,26.4,0,Cloudy,23,65.4,21.8
2025-05-12 02:46:04,26,0,Clear,19.6,73.1,22.1
2025-05-12 03:46:04,29.3,2.4,Rain,21.3,84.2,25.1
2025-05-12 04:46:04,29.1,0,Clear,19,56.3,25.3
2025-05-12 05:46:04,29.5,0,Clear,18.6,42.9,25.8
2025-05-12 06:46:04,31.3,0,Clear,5.5,42.1,30.2
2025-05-12 07:46:04,28.8,0,Clear,11.5,53.6,26.5
2025-05-12 08:46:04,30.5,0,Fog,21.1,82.1,26.3
2025-05-12 09:46:04,29.3,0,Clear,6.5,72.8,28
2025-05-12 10:46:04,28.2,0,Clear,10.3,43.3,26.2
2025-05-12 11:46:04,24.1,0,Cloudy,7.9,71.7,22.5
2025-05-12 12:46:04,25.7,0,Clear,8.8,74.4,24
2025-05-12 13:46:04,23.7,9.2,Rain,18.7,75.7,20
2025-05-12 14:46:04,23.8,0,Clear,8.6,75.5,22.1
2025-05-12 15:46:04,21,0,Cloudy,8.5,42.3,19.3
2025-05-12 16:46:04,22.2,0,Clear,10.4,70.9,20.1
2025-05-12 17:46:04,20.3,0,Cloudy,9.5,75.6,18.4
2025-05-12 18:46:04,18.6,0,Clear,20.8,66.4,14.5
2025-05-12 19:46:04,21.6,0,Clear,21.4,59,17.3
2025-05-12 20:46:04,19.4,0,Cloudy,11.3,71.3,17.2
2025-05-12 21:46:04,21,0,Clear,10.3,55.8,18.9
2025-05-12 22:46:04,20.9,9.7,Rain,31.8,77.7,14.5
2025-05-12 23:46:04,25.4,0,Clear,8.1,61.2,23.8
2025-05-13 00:46:04,24.7,0,Clear,13.5,62.3,22
2025-05-13 01:46:04,26.6,0,Cloudy,19.7,77.4,22.7
2025-05-13 02:46:04,27.6,2.8,Rain,42.1,78.7,19.2
2025-05-13 03:46:04,26.4,0,Clear,12.9,72,23.8
2025-05-13 04:46:04,29.4,7.8,Rain,20.9,86.8,25.2
2025-05-13 05:46:04,30,0,Fog,24,89.9,25.2
2025-05-13 06:46:04,30.2,0,Clear,22.8,43.5,25.7
2025-05-13 07:46:04,31.2,0,Clear,22.8,50.2,26.6
2025-05-13 08:46:04,29.8,8.1,Rain,37.9,80.7,22.2
2025-05-13 09:46:04,29,0,Clear,14.2,69.5,26.2
2025-05-13 10:46:04,27.4,0,Cloudy,9.8,73.5,25.5
2025-05-13 11:46:04,25.4,3.3,Rain,36.8,85.2,18
2025-05-13 12:46:04,24.3,0,Cloudy,7.6,40.6,22.8
2025-05-13 13:46:04,24.5,0,Clear,23,70.8,19.9
2025-05-13 14:46:04,21.3,0,Clear,24.1,52.4,16.4
2025-05-13 15:46:04,23.1,13.2,Rain,31.2,78.1,16.8
2025-05-13 16:46:04,21.2,8.9,Rain,16.6,76,17.8
2025-05-13 17:46:04,19.4,0,Clear,16.4,78.1,16.1
2025-05-13 18:46:04,21.9,0,Clear,14,40.7,19.1
2025-05-13 19:46:04,21.7,0,Cloudy,20,71.8,17.7
2025-05-13 20:46:04,21.4,5.9,Rain,42.9,86.3,12.8
2025-05-13 21:46:04,20.1,10.9,Rain,24.9,85,15.1
2025-05-13 22:46:04,22.2,0,Clear,21.2,61.2,18
2025-05-13 23:46:04,23.5,0,Cloudy,18.2,72.6,19.9
2025-05-14 00:46:04,26,0,Clear,16.2,74.1,22.7
2025-05-14 01:46:04,24.4,1.1,Rain,41.8,76.9,16
2025-05-14 02:46:04,27.6,0,Cloudy,22.9,78.1,23
2025-05-14 03:46:04,28.3,0,Clear,13.9,75.1,25.5
2025-05-14 04:46:04,31.2,0,Clear,13.8,75.5,28.4
2025-05-14 05:46:04,29.7,0,Cloudy,12.4,73.9,27.2
2025-05-14 06:46:04,28.8,0,Cloudy,19.4,73.8,24.9
2025-05-14 07:46:04,29.1,0,Clear,7,58,27.7
2025-05-14 08:46:04,30.7,0,Clear,14.1,69.4,27.9
2025-05-14 09:46:04,29.8,0,Cloudy,21.5,46,25.5
2025-05-14 10:46:04,28.8,0,Clear,19,57.3,25
2025-05-14 11:46:04,25.7,0,Clear,10.5,66.1,23.6
2025-05-14 12:46:04,26.9,0,Clear,23,68.4,22.3
2025-05-14 13:46:04,22.4,6.2,Rain,34.6,92.8,15.5
2025-05-14 14:46:04,20.6,0,Clear,7.2,54.2,19.1
2025-05-14 15:46:04,22.6,0,Cloudy,12.7,64,20.1
2025-05-14 16:46:04,21.8,0,Clear,9.4,78,19.9
2025-05-14 17:46:04,22,0,Clear,7.2,75.5,20.6
2025-05-14 18:46:04,19.8,0,Clear,11.8,55,17.4
2025-05-14 19:46:04,19.8,6.8,Rain,43.4,79.3,11.1
2025-05-14 20:46:04,22.2,0,Clear,10.3,67.4,20.1
2025-05-14 21:46:04,23.5,3.1,Rain,20,81.9,19.5
2025-05-14 22:46:04,21.7,0,Clear,12.9,68,19.2
2025-05-14 23:46:04,22.9,6.2,Rain,41.6,93.1,14.6
2025-05-15 00:46:04,24.3,10.9,Rain,40,70.6,16.3
2025-05-15 01:46:04,28.4,0,Cloudy,15.6,43.7,25.3
