zone_id,latitude,longitude,datetime,day_of_week,hour_of_day,temperature,humidity,precipitation,wind_speed,weather_condition,avg_speed,traffic_ratio,traffic_density,event_nearby,event_type,event_intensity,demand_surge
Z_013,28.55191,77.16009,11/12/2025 13:00,2,13,28.97489207,42.86717361,0.063876062,4.851435618,Clear,59.7202868,1.311497489,1,0,None,0,96
Z_011,28.58613,77.21735,11/10/2025 17:30,0,17,20.04138411,84.7606061,19.10522051,5.477871952,Rain,38.31227657,2.911705802,3,0,None,0,118
Z_017,28.6255,77.21593,11/12/2025 19:30,2,19,35.92884674,48.22531343,0.044719157,1.345936196,Clear,31.90673241,1.533808507,3,0,None,0,131
Z_006,28.63421,77.17508,11/9/2025 19:30,6,19,27.03909841,52.12543142,0.080732147,1.906609107,Clear,37.01043027,2.930872989,3,0,None,0,137
Z_011,28.58613,77.21735,11/10/2025 22:00,0,22,23.18631587,96.22165543,13.42769497,5.1787514,Storm,40.73596919,1.474423419,2,0,None,0,102
Z_002,28.61289,77.2388,11/8/2025 11:30,5,11,20.59961807,89.37913577,24.98076359,5.772382584,Storm,27.88994108,1.12054899,5,1,Concert,4848,156
Z_026,28.62022,77.24742,11/10/2025 13:30,0,13,19.59365799,96.81443555,14.42865761,13.14691017,Storm,28.93315161,1.729068112,4,0,None,0,105
Z_011,28.58613,77.21735,11/8/2025 19:30,5,19,30.14015753,76.20567098,0.794379935,3.580321929,Clouds,49.29024479,2.086372366,2,0,None,0,143
Z_016,28.56205,77.24972,11/11/2025 2:30,1,2,16.00733374,93.9054284,16.2853065,7.78684066,Storm,22.64099966,2.951224436,5,0,None,0,107
Z_005,28.59968,77.24971,11/12/2025 23:30,2,23,26.12443518,79.02304727,11.69122421,2.289344116,Rain,29.79952135,2.053401662,5,0,None,0,118
Z_008,28.57489,77.17002,11/11/2025 7:30,1,7,20.41530772,85.88859727,24.86172213,13.57341194,Storm,53.93042714,2.967619147,1,0,None,0,106
Z_009,28.60386,77.18462,11/10/2025 4:00,0,4,22.29439521,98.07253832,19.31830264,11.50964202,Storm,37.22808507,1.101540319,3,0,None,0,100
Z_010,28.58345,77.22354,11/9/2025 9:00,6,9,21.70414225,93.45760321,13.79312296,14.81039038,Storm,36.86602214,1.080630524,4,0,None,0,138
Z_013,28.55191,77.16009,11/9/2025 5:30,6,5,24.56172323,57.18274081,0.029713402,3.994737776,Clouds,53.41809147,1.890913367,1,1,Concert,1666,144
Z_016,28.56205,77.24972,11/8/2025 20:30,5,20,19.70025734,97.8393836,16.36041692,5.43026002,Rain,44.52130497,2.653335866,3,1,Festival,3625,173
Z_010,28.58345,77.22354,11/9/2025 3:30,6,3,25.26318018,65.8773498,0.373241955,3.358071631,Clouds,57.90495114,1.232703148,1,0,None,0,121
Z_030,28.62278,77.21054,11/10/2025 19:00,0,19,22.49728471,91.65140295,29.6005217,10.35499287,Storm,24.55700761,1.625333297,5,0,None,0,118
Z_005,28.59968,77.24971,11/8/2025 18:30,5,18,22.32331531,69.79719224,0.024613379,5.502051266,Clouds,45.20907023,2.740437765,2,0,None,0,142
Z_005,28.59968,77.24971,11/9/2025 12:30,6,12,21.38190381,87.03122236,4.303346607,5.096141709,Rain,25.81801807,2.511261732,4,0,None,0,130
Z_013,28.55191,77.16009,11/8/2025 9:30,5,9,16.51299112,90.93352716,13.04187598,6.406904411,Storm,59.57088046,1.254527923,1,0,None,0,137
Z_012,28.62331,77.23953,11/10/2025 6:00,0,6,20.50775657,87.37704234,8.001591166,7.524560369,Rain,20.58925518,1.20826669,5,0,None,0,112
Z_018,28.6396,77.15252,11/8/2025 3:30,5,3,31.94589318,49.76825123,0.013311068,3.882036196,Clear,21.8301891,2.258152813,6,0,None,0,107
Z_014,28.58794,77.18586,11/8/2025 2:30,5,2,19.36032276,81.86809954,2.770479924,7.989705198,Rain,45.96786823,2.515918098,3,0,None,0,137
Z_011,28.58613,77.21735,11/10/2025 18:30,0,18,23.88980958,73.58464164,0.686767253,2.163367754,Clouds,52.64925692,2.974638706,1,0,None,0,109
Z_027,28.58919,77.23499,11/9/2025 22:00,6,22,37.00567396,57.54513112,0.07629559,2.649948385,Clear,32.08464256,2.929969026,3,1,Festival,9426,150
Z_011,28.58613,77.21735,11/10/2025 19:00,0,19,32.97732169,40.61747532,0.036492497,2.775528217,Clear,47.11538145,1.377001673,2,0,None,0,106
Z_003,28.58686,77.19666,11/11/2025 9:00,1,9,31.69955585,76.34508611,0.958536009,2.367877792,Clouds,37.00789867,2.158975169,2,0,None,0,123
Z_026,28.62022,77.24742,11/9/2025 14:00,6,14,26.85923694,75.9136292,0.22015784,5.409647293,Clouds,23.19450698,2.545843197,6,0,None,0,123
Z_019,28.56977,77.23655,11/12/2025 20:00,2,20,24.3260111,75.17179578,1.972729634,5.726783202,Rain,58.01330897,2.700948314,1,0,None,0,133
Z_009,28.60386,77.18462,11/12/2025 6:00,2,6,22.20286689,78.68879148,2.909022155,3.22845943,Rain,53.77626569,2.982794544,1,0,None,0,128
Z_024,28.55181,77.18355,11/8/2025 20:30,5,20,30.22492813,46.58557028,0.004280216,4.881426214,Clear,39.59459288,1.360299294,2,0,None,0,130
Z_013,28.55191,77.16009,11/10/2025 10:30,0,10,25.05596252,86.46670733,18.67899543,4.027285232,Rain,35.61331672,1.683701462,4,0,None,0,115
Z_010,28.58345,77.22354,11/11/2025 20:30,1,20,24.87822868,75.09709494,0.640832522,2.991855296,Clouds,58.71880108,1.83788477,1,0,None,0,109
Z_010,28.58345,77.22354,11/8/2025 8:30,5,8,22.72151827,81.2112138,22.16416725,11.40227085,Storm,55.83380112,1.001496306,1,0,None,0,121
Z_030,28.62278,77.21054,11/11/2025 18:00,1,18,34.51653471,42.93694335,0.149064532,1.985339187,Clear,59.18288922,2.938888661,1,0,None,0,112
Z_011,28.58613,77.21735,11/8/2025 7:30,5,7,26.08429017,43.48490912,0.186414866,4.575543411,Clear,58.80805271,1.663313915,1,1,Concert,5306,144
Z_005,28.59968,77.24971,11/9/2025 8:30,6,8,19.02326799,99.98051964,25.05053983,10.59074488,Storm,39.13235918,1.227182777,2,0,None,0,129
Z_001,28.64286,77.23377,11/10/2025 18:00,0,18,25.76433165,49.79639913,0.066871736,3.373829048,Clear,43.00104702,1.737754234,1,0,None,0,116
Z_012,28.62331,77.23953,11/9/2025 4:30,6,4,20.63425649,90.31102485,20.88346529,10.72949381,Storm,39.69629174,2.836034267,2,1,Festival,6294,137
Z_023,28.59908,77.19862,11/11/2025 14:30,1,14,26.35304658,77.12215269,4.714006253,5.698575587,Rain,59.87569657,1.139129138,1,0,None,0,122
Z_016,28.56205,77.24972,11/9/2025 5:00,6,5,31.9232955,64.45015609,0.469202432,5.644414907,Clouds,57.23301637,1.503733584,1,1,Concert,5760,131
Z_015,28.55521,77.24975,11/11/2025 22:00,1,22,26.21919627,40.782894,0.195660574,4.156230123,Clear,22.5107288,2.285615071,5,0,None,0,97
Z_019,28.56977,77.23655,11/11/2025 9:00,1,9,19.35801496,86.09339998,19.58719902,13.14748722,Storm,40.57731397,2.185297898,2,1,Sports,5858,159
Z_017,28.6255,77.21593,11/12/2025 9:00,2,9,24.91131817,94.13163007,19.53078135,3.007114449,Rain,22.93856831,1.871659935,5,0,None,0,140
Z_014,28.58794,77.18586,11/8/2025 4:00,5,4,31.15799855,56.72077763,0.032721258,1.306540063,Clear,22.67943028,2.335559492,5,0,None,0,102
Z_022,28.60453,77.18759,11/9/2025 15:00,6,15,25.48070178,62.65433888,0.599653993,2.998571357,Clouds,42.06565553,1.356458195,3,0,None,0,114
Z_019,28.56977,77.23655,11/9/2025 5:00,6,5,32.68076886,51.72941995,0.016300766,2.045377031,Clear,23.68333793,2.225504006,5,0,None,0,119
Z_013,28.55191,77.16009,11/8/2025 5:00,5,5,27.39406948,88.80188766,15.77569644,2.664857117,Rain,23.63539862,2.992688445,6,0,None,0,120
Z_012,28.62331,77.23953,11/9/2025 5:30,6,5,24.67920624,51.17234842,0.790266701,3.047803552,Clouds,57.09324471,1.072892983,1,0,None,0,116
Z_017,28.6255,77.21593,11/12/2025 21:30,2,21,27.40985695,76.47257127,4.669542573,6.447462945,Rain,38.75242619,2.982480032,4,1,Festival,7983,164
Z_005,28.59968,77.24971,11/9/2025 16:30,6,16,19.53670896,93.74904792,21.53106846,14.758522,Storm,21.33876502,1.103056217,4,0,None,0,115
Z_025,28.62903,77.20086,11/10/2025 4:30,0,4,31.84457491,41.13042535,0.18231617,4.925222304,Clear,34.75907713,2.006868374,4,0,None,0,95
Z_027,28.58919,77.23499,11/8/2025 8:00,5,8,22.44412131,74.05713384,7.986168984,6.677310039,Rain,55.47777694,1.132142306,1,0,None,0,159
Z_011,28.58613,77.21735,11/8/2025 9:00,5,9,28.18788732,65.26034964,0.626795357,2.729129625,Clouds,23.04981951,2.511001069,6,0,None,0,130
Z_026,28.62022,77.24742,11/8/2025 2:00,5,2,20.79904386,81.85206109,23.94124371,7.668351431,Storm,32.01707765,2.534791583,3,0,None,0,124
Z_003,28.58686,77.19666,11/8/2025 15:30,5,15,15.42098649,89.74383562,12.24751361,7.907152684,Storm,28.92697073,1.003054338,5,1,Concert,2952,127
